State,state_code,data science,cluster analysis,college,startup,entrepreneur,ceo,mortgage,nba,nfl,mlb,fifa,modern dance,prius,escalade,subaru,jello,bbq,royal family,obfuscation,unicorn,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness,PsychRegions,region,division
Alabama,AL,-1.00,-0.13,1.10,-0.68,0.15,-0.73,1.53,-0.74,-1.83,-1.30,-0.80,-1.22,-0.74,0.10,-1.19,-0.75,1.52,0.26,-0.32,-1.03,55.5,52.7,55.5,48.7,42.7,1,3,6
Arizona,AZ,-0.42,-0.73,-0.10,0.11,0.57,0.25,0.95,0.38,0.68,0.14,0.10,0.30,1.19,0.78,-0.70,-0.58,0.36,-1.06,0.38,0.10,50.6,46.6,58.4,38.1,54.7,2,4,8
Arkansas,AR,-0.66,-0.39,-0.64,-0.08,0.01,-0.66,-0.50,-0.71,-1.59,-1.24,-0.88,-1.36,-0.43,0.93,-0.79,-0.19,1.01,-0.09,-0.45,-0.32,49.9,52.7,41.0,56.2,40.3,1,3,7
California,CA,1.95,-0.62,-0.26,2.02,0.46,1.27,-0.97,1.46,-0.91,0.39,1.94,0.33,3.97,-0.28,-0.52,-1.21,1.37,-1.04,0.70,-0.38,51.4,49.0,43.2,39.1,65.0,2,4,9
Colorado,CO,0.34,0.00,-0.61,1.49,0.05,0.33,1.38,-0.80,1.17,-0.51,-0.33,-0.34,0.24,0.01,1.37,-0.55,0.63,-0.80,1.32,0.20,45.3,47.5,58.8,34.3,57.9,1,4,8
Connecticut,CT,0.69,1.28,1.17,0.41,0.09,1.52,0.51,0.03,-0.64,1.25,1.58,0.59,0.11,-1.14,1.17,-0.78,-1.05,1.11,0.47,0.09,57.6,38.6,34.2,53.4,53.9,3,1,1
Delaware,DE,0.45,2.91,-0.46,0.14,2.74,0.91,1.71,0.37,1.63,0.86,0.83,-0.16,0.12,-0.61,-0.10,-0.56,-1.05,0.94,0.11,-0.49,47.0,38.8,36.5,62.4,42.7,3,3,5
Florida,FL,-0.73,-1.38,-0.30,-0.75,0.78,0.36,0.03,1.43,-0.47,0.06,1.07,-0.51,-0.02,0.82,-1.01,-1.07,-0.18,-0.84,-0.88,-1.10,60.9,50.7,62.7,40.8,61.0,1,3,5
Georgia,GA,-0.27,-0.57,0.25,-1.13,1.97,0.42,0.25,0.89,-0.53,-0.67,0.09,-0.81,-0.49,1.14,-1.04,-1.03,1.22,-1.26,-0.71,-1.01,63.2,60.0,68.8,38.0,56.9,1,3,5
Idaho,ID,-0.67,-1.12,-0.87,1.30,0.21,-0.59,0.62,-1.47,-0.30,-1.35,-0.90,0.21,-0.03,-0.60,1.07,1.23,0.19,-0.83,1.05,1.80,40.7,52.9,44.5,44.2,44.7,2,4,8
Illinois,IL,0.87,0.79,0.02,-0.58,-0.05,1.21,-0.43,1.83,-0.07,1.33,0.35,-0.46,-0.20,0.47,-0.66,0.25,0.02,-0.64,-0.27,-1.00,62.5,48.3,50.9,51.2,55.2,1,2,3
Indiana,IN,0.01,0.65,-0.86,0.22,0.93,-0.02,0.07,0.61,-0.16,-0.31,-0.36,-0.28,-0.28,-0.08,-0.63,0.57,-0.90,0.23,0.02,0.37,48.9,50.2,56.2,59.3,44.9,1,2,3
Iowa,IA,-0.26,0.02,1.46,-0.03,0.22,-0.65,-0.73,-1.02,0.26,0.15,-0.41,-0.94,-0.38,-0.33,-0.61,2.65,-0.68,0.30,-0.67,0.41,62.8,56.6,52.2,49.1,33.7,1,2,4
Kansas,KS,-0.73,-0.96,0.01,-0.56,0.14,-0.66,-1.55,-0.65,-0.50,0.43,0.25,-1.13,-0.57,-0.19,-0.78,0.49,1.88,-0.58,-0.98,-0.14,45.5,48.9,50.8,49.0,40.1,1,2,4
Kentucky,KY,-0.65,-0.96,0.26,-1.10,-0.60,-0.72,-0.74,0.51,-0.96,-0.66,-0.73,-0.19,-0.42,0.33,-0.85,-0.11,0.29,-0.38,-0.95,-0.50,53.4,48.1,51.3,62.5,43.0,1,3,6
Louisiana,LA,-1.08,-1.02,-0.82,-1.67,-0.09,-1.13,-0.22,0.62,0.57,-1.50,-0.71,-0.04,-1.24,1.64,-1.24,-0.39,0.78,-0.42,-1.38,-1.13,52.2,49.7,45.0,60.4,53.7,1,3,7
Maine,ME,-0.79,-1.00,0.60,0.28,-1.76,-0.81,0.13,-1.10,-0.48,0.97,-0.66,0.47,1.18,-1.87,1.77,-0.13,-0.99,1.53,0.12,3.22,44.2,32.8,24.0,71.0,50.8,3,1,1
Maryland,MD,2.00,2.57,1.20,0.74,1.22,0.80,1.89,0.30,1.48,0.76,1.28,1.88,0.66,-0.48,-0.30,-0.94,-0.38,1.38,2.59,-0.49,35.2,37.3,37.5,49.4,56.6,3,3,5
Massachusetts,MA,2.73,2.53,1.99,2.17,0.29,2.41,0.50,0.54,-0.11,1.22,0.76,0.69,0.54,-0.99,0.41,-0.81,-0.82,1.56,1.47,0.00,44.4,40.7,32.2,63.8,59.6,3,1,1
Michigan,MI,-0.18,0.20,0.11,-0.42,0.31,-0.14,-0.29,0.33,-0.82,1.01,-0.27,-0.58,-0.85,1.06,-0.63,1.30,-0.20,-0.45,-0.20,-0.18,55.2,54.7,53.0,48.6,43.4,1,2,3
Minnesota,MN,0.16,-0.14,-0.36,-0.03,-0.65,0.63,1.12,-0.17,0.77,0.66,-0.51,-0.58,0.05,-0.13,-0.24,0.58,-0.71,0.56,0.46,-0.32,52.9,61.6,52.5,43.4,38.5,1,2,4
Mississippi,MS,-1.27,-0.23,1.58,-1.83,0.21,-1.38,-1.14,0.73,0.01,-1.30,-1.07,-0.62,-1.23,1.69,-1.34,-0.34,0.73,-0.46,-1.77,-1.72,56.8,63.3,59.7,52.0,46.2,1,3,6
Missouri,MO,-0.47,-0.31,-0.36,-0.29,-0.05,-0.28,0.26,-1.04,-0.46,2.49,-0.36,-0.98,-0.24,0.32,-0.77,0.63,1.94,-0.63,-0.30,-0.22,62.9,59.3,60.8,48.3,45.7,1,2,4
Montana,MT,-0.91,1.09,-0.84,0.84,-0.89,-0.89,-0.09,-1.67,1.05,-0.85,-1.57,-0.42,-0.51,-0.59,1.72,0.54,-0.19,-0.12,0.50,0.93,33.1,52.3,56.1,43.0,55.0,1,4,8
Nebraska,NE,-0.12,0.34,1.37,-0.17,0.05,-0.39,-0.80,-1.03,-0.58,-0.34,-0.17,-0.96,-0.80,0.46,-0.26,2.10,-0.01,0.40,0.15,0.38,60.0,62.9,64.3,41.6,34.3,1,2,4
Nevada,NV,-0.64,-1.70,-1.96,-0.24,0.30,0.25,0.10,1.53,1.25,0.83,0.80,-0.11,0.47,2.00,-0.11,-0.81,1.26,-1.39,-0.80,0.38,46.4,31.8,55.8,44.0,61.3,2,4,8
New Hampshire,NH,-0.16,0.12,1.27,1.67,-0.40,0.42,1.27,-1.18,-0.48,0.84,-0.29,0.30,1.09,-1.34,2.03,-0.20,-1.45,1.35,1.52,1.15,40.2,53.5,38.0,61.8,48.7,3,1,1
New Jersey,NJ,1.42,-0.31,0.48,0.32,0.84,1.48,1.06,0.91,0.10,1.39,2.60,0.73,-0.57,-0.15,-0.14,-1.22,-0.40,0.85,-0.07,-0.17,59.9,44.6,40.8,56.4,57.6,3,1,2
New Mexico,NM,-0.39,0.70,-1.28,0.20,-1.04,-1.12,-0.07,-1.14,0.92,-1.02,-0.44,0.53,0.39,-0.01,0.03,-0.44,-0.84,-0.06,1.64,0.09,32.4,45.4,58.5,51.6,62.0,2,4,8
New York,NY,2.03,0.04,0.74,0.44,0.93,2.46,-0.95,2.12,-0.68,1.46,1.38,1.29,-0.73,-0.13,-0.31,-1.13,0.48,0.76,-0.11,-0.51,47.0,29.8,37.7,62.7,64.5,3,1,2
North Carolina,NC,0.25,0.51,0.63,-0.24,1.21,0.20,0.99,0.06,0.03,-0.93,0.02,0.95,0.15,-0.22,-0.59,-0.61,0.93,-0.35,-0.21,-0.89,51.0,63.6,68.4,44.8,49.6,2,3,5
North Dakota,ND,-1.26,-0.45,-0.33,-0.13,-0.25,-1.02,-1.30,-0.55,2.08,0.06,-1.16,-1.11,-1.39,1.51,0.46,1.65,-1.26,-0.66,-1.49,0.03,52.4,52.4,51.4,49.6,21.8,1,2,4
Ohio,OH,-0.21,0.31,-0.16,0.04,-0.22,0.06,-0.35,0.55,0.18,0.23,-0.39,-0.41,-0.47,-0.67,-0.44,0.62,-0.70,-0.22,0.04,-0.23,54.6,45.9,46.5,58.5,46.0,3,2,3
Oklahoma,OK,-0.79,-0.79,-0.58,-0.83,-0.89,-0.49,0.31,1.61,-1.24,-1.16,-0.49,0.80,-0.48,1.96,-0.80,-0.07,1.13,-0.58,-0.80,-0.43,39.7,54.3,54.7,52.1,42.2,1,3,7
Oregon,OR,-0.06,-1.04,-1.73,-0.73,-1.94,-0.85,-2.40,0.00,-2.56,-0.39,1.86,-0.31,0.36,-2.34,0.16,-1.60,-0.86,-2.55,-0.03,-0.62,30.9,59.1,45.8,39.5,58.8,2,4,9
Pennsylvania,PA,0.35,0.55,1.24,0.21,0.30,0.68,0.10,-0.22,0.77,1.66,0.08,0.28,-0.42,-0.67,0.46,0.48,-0.93,0.28,0.13,-0.16,54.6,42.8,52.4,61.4,49.6,3,1,2
Rhode Island,RI,1.34,0.51,0.67,0.37,-0.29,0.42,0.82,-0.13,0.22,1.22,0.56,0.67,0.07,-0.83,0.35,-0.44,-1.68,0.76,-0.10,0.46,43.3,35.2,48.5,61.9,59.4,3,1,1
South Carolina,SC,-0.59,-0.86,0.77,-1.22,0.56,-0.53,0.25,-0.33,-0.28,-0.80,-0.23,-0.66,-0.50,0.39,-0.89,-0.49,1.07,-0.04,-1.19,-0.76,60.0,55.4,69.6,45.7,55.3,1,3,5
South Dakota,SD,-0.64,-0.02,-0.88,-0.37,-0.63,-1.24,-0.65,-0.80,2.09,-0.13,-1.28,-0.96,-1.08,0.97,0.15,1.97,-1.25,-1.30,-1.18,0.55,58.7,56.7,55.8,36.1,41.9,1,2,4
Tennessee,TN,-0.47,-0.73,-0.17,-0.54,0.84,-0.09,0.49,-0.13,-0.91,-1.04,-0.71,-0.27,-0.30,0.37,-0.73,-0.53,1.40,0.06,-0.66,-0.78,51.3,66.6,62.0,49.0,50.1,1,3,6
Texas,TX,-0.18,-0.80,0.32,-0.91,0.12,-0.06,-0.89,1.25,-0.12,-0.73,0.76,-0.24,-0.65,1.96,-1.00,-0.78,2.05,-1.31,-0.65,-0.79,55.2,52.3,54.4,44.3,52.7,3,3,7
Utah,UT,0.36,1.17,-1.67,2.63,2.40,0.09,1.65,1.42,-1.11,-1.50,-0.20,4.79,-0.03,-0.43,0.96,1.37,0.03,-1.08,1.91,2.63,55.8,69.4,54.5,30.4,47.7,2,4,8
Vermont,VT,-0.04,0.38,2.36,0.29,-1.54,-0.33,-1.06,-1.04,-0.84,1.10,0.86,1.62,2.09,-2.10,3.21,-0.16,-0.95,1.75,1.98,1.11,26.5,60.0,38.2,55.8,54.2,3,1,1
Virginia,VA,0.85,-0.21,-1.22,-1.72,-0.74,-0.36,-1.11,-1.17,-0.96,-0.74,2.56,-0.15,-0.62,-1.31,-0.71,-1.62,-0.92,-0.29,-0.42,-1.56,48.5,47.4,45.3,44.7,57.1,2,3,5
Washington,WA,2.09,-0.13,0.00,2.40,-1.09,0.40,-0.04,-0.41,0.52,-0.39,-0.06,-0.12,2.09,-0.28,1.22,0.09,0.68,0.32,1.94,1.82,30.6,55.8,45.0,36.9,56.6,2,4,9
West Virginia,WV,-0.82,-0.65,-0.26,-0.91,-1.67,-1.22,-2.20,-1.03,-0.46,-0.39,-1.05,-0.67,-0.69,-0.27,0.94,0.80,-0.97,0.56,-1.19,0.62,38.5,51.8,42.6,79.2,36.8,3,3,5
Wisconsin,WI,-0.30,-0.19,-0.75,0.16,-0.53,-0.38,-0.50,-0.43,1.87,0.89,-0.48,-0.74,0.10,-0.61,-0.14,1.86,-1.05,-0.64,-0.10,-0.01,69.8,57.8,47.6,48.6,35.7,1,2,3
Wyoming,WY,-1.17,0.17,0.78,-0.64,-1.06,-1.27,-0.27,-1.72,1.09,-1.12,-1.38,0.53,-0.86,0.65,1.06,0.50,-0.47,-0.35,-0.79,1.32,46.0,40.7,42.4,46.1,42.4,1,4,8