State,modern.dance,nba
Alabama,-1.31,-0.9
Alaska,-0.79,-1.08
Arizona,0.47,1.23
Arkansas,-1.32,-1.1
California,0.44,1.65
Colorado,-0.33,-0.68
Connecticut,0.5,0.1
Delaware,-0.96,0.03
District of Columbia,0.28,-0.06
Florida,-0.26,0.29
Georgia,-0.55,0.02
Hawaii,0.46,0.87
Idaho,0.44,-1
Illinois,-0.32,1.45
Indiana,-0.42,0.51
Iowa,-0.76,-0.99
Kansas,-1.28,-0.65
Kentucky,0.19,0.07
Louisiana,0.05,0.38
Maine,0.2,-0.59
Maryland,1.53,0.02
Massachusetts,0.45,0.43
Michigan,-0.43,0.81
Minnesota,-0.49,-0.17
Mississippi,-0.15,0.08
Missouri,-0.95,-1.46
Montana,-0.23,-1.29
Nebraska,-0.85,-1.08
Nevada,0.18,1.26
New Hampshire,-0.1,-0.77
New Jersey,0.31,0.7
New Mexico,0.13,-0.91
New York,1.06,1.06
North Carolina,1.43,0.05
North Dakota,-1.19,0
Ohio,-0.47,0.99
Oklahoma,0.63,0.06
Oregon,0.31,2.6
Pennsylvania,0.16,-0.6
Rhode Island,0.36,0.27
South Carolina,-0.42,-0.59
South Dakota,-1.41,-0.44
Tennessee,-0.06,-0.57
Texas,0.02,0.76
Utah,5.07,3.45
Vermont,1.12,-1.11
Virginia,0.19,-0.52
Washington,-0.33,-0.64
West Virginia,-0.62,-0.88
Wisconsin,-0.66,0.12
Wyoming,0.69,-1.18