row,rt,corr,Pacc,prev
1,6.456769656,cor,0,inc
2,5.602118821,cor,0,cor
3,6.253828812,inc,0,cor
4,5.451038454,inc,0,inc
5,5.872117789,inc,0,inc
6,6.003887067,cor,0,inc
7,5.402677382,cor,0.045454545,cor
8,6.406879986,cor,0.090909091,cor
9,6.077642243,inc,0.136363636,cor
10,5.480638923,cor,0.181818182,inc
11,5.958424693,cor,0.227272727,cor
12,5.828945618,inc,0.272727273,cor
13,5.926926026,cor,0.318181818,inc
14,6.124683391,inc,0.363636364,cor
15,5.955837369,cor,0.409090909,inc
16,6.059123196,cor,0.454545455,cor
17,6.478509642,inc,0.5,cor
18,6.445719819,cor,0.545454545,inc
19,6.562444094,cor,0.590909091,cor
20,6.647688374,cor,0.636363636,cor
21,6.49677499,cor,0.681818182,cor
22,6.395261598,cor,0.727272727,cor
23,6.529418838,cor,0.772727273,cor
24,6.376726948,cor,0.727272727,cor
25,6.548219103,cor,0.681818182,cor
26,6.401917197,cor,0.636363636,cor
27,6.363028104,cor,0.590909091,cor
28,6.253828812,cor,0.545454545,cor
29,6.333279628,cor,0.5,cor
30,6.517671273,cor,0.454545455,cor
31,6.345636361,cor,0.409090909,cor
32,6.091309882,cor,0.363636364,cor
33,7.151485464,cor,0.318181818,cor
34,5.429345629,cor,0.272727273,cor
35,5.043425117,cor,0.227272727,cor
36,5.332718793,inc,0.181818182,cor
37,5.278114659,cor,0.136363636,inc
38,5.564520407,cor,0.090909091,cor
39,5.398162702,inc,0.045454545,cor
40,5.505331536,cor,0.090909091,inc
41,5.568344504,cor,0.136363636,cor
42,5.517452896,cor,0.181818182,cor
43,5.398162702,inc,0.227272727,cor
44,5.560681631,cor,0.272727273,inc
45,6.169610732,cor,0.318181818,cor
46,6.06610809,inc,0.363636364,cor
47,6.184148891,cor,0.409090909,inc
48,6.226536669,cor,0.454545455,cor
49,6.350885717,cor,0.5,cor
50,6.22059017,cor,0.545454545,cor
51,6.12249281,cor,0.590909091,cor
52,6.269096284,cor,0.636363636,cor
53,6.66949809,cor,0.590909091,cor
54,6.413458957,cor,0.545454545,cor
55,6.481577129,inc,0.5,cor
56,6.907755279,cor,0.454545455,inc
57,6.363028104,cor,0.409090909,cor
58,6.586171655,cor,0.363636364,cor
59,6.366470448,cor,0.318181818,cor
60,5.918893854,inc,0.272727273,cor
61,6.02827852,inc,0.227272727,inc
62,5.446737372,cor,0.181818182,inc
63,5.92157842,cor,0.136363636,cor
64,5.918893854,inc,0.090909091,cor
65,6.246106765,cor,0.045454545,inc
66,5.220355825,cor,0,cor
67,5.451038454,cor,0,cor
68,5.420534999,cor,0.045454545,cor
69,5.549076085,inc,0.090909091,cor
70,5.641907071,cor,0.136363636,inc
71,5.587248658,cor,0.181818182,cor
72,5.365976015,cor,0.227272727,cor
73,5.451038454,cor,0.272727273,cor
74,6.126869184,cor,0.318181818,cor
75,5.446737372,cor,0.363636364,cor
76,5.888877958,cor,0.409090909,cor
77,6.51174533,cor,0.454545455,cor
78,6.575075841,cor,0.5,cor
79,6.450470422,cor,0.545454545,cor
80,7.200424893,cor,0.590909091,cor
81,6.361302478,cor,0.545454545,cor
82,6.408528791,cor,0.5,cor
83,6.146329258,cor,0.454545455,cor
84,6.104793232,cor,0.409090909,cor
85,6.208590026,cor,0.363636364,cor
86,6.93439721,cor,0.318181818,cor
87,6.381816017,cor,0.272727273,cor
88,5.420534999,cor,0.227272727,cor
89,5.347107531,cor,0.181818182,cor
90,5.424950017,cor,0.136363636,cor
91,5.96100534,inc,0.090909091,cor
92,5.298317367,inc,0.045454545,inc
93,5.433722004,inc,0.090909091,inc
94,5.501258211,inc,0.136363636,inc
95,5.298317367,cor,0.181818182,inc
96,5.398162702,cor,0.227272727,cor
97,5.602118821,cor,0.272727273,cor
98,5.407171771,cor,0.318181818,cor
99,5.575949103,cor,0.363636364,cor
100,5.525452939,cor,0.409090909,cor
101,6.198478716,cor,0.454545455,cor
102,6.383506635,cor,0.5,cor
103,6.139884552,cor,0.545454545,cor
104,6.490723535,cor,0.590909091,cor
105,6.507277712,cor,0.636363636,cor
106,6.315358002,cor,0.590909091,cor
107,6.361302478,cor,0.545454545,cor
108,6.535241271,cor,0.5,cor
109,6.573680167,cor,0.454545455,cor
110,6.963189986,cor,0.409090909,cor
111,6.424869024,cor,0.363636364,cor
112,5.998936562,cor,0.318181818,cor
113,6.421622268,cor,0.272727273,cor
114,6.317164687,cor,0.227272727,cor
115,6.440946541,inc,0.181818182,cor
116,5.736572297,inc,0.136363636,inc
117,5.802118375,cor,0.090909091,inc
118,5.572154032,inc,0.045454545,cor
119,6.01615716,inc,0,inc
120,5.525452939,cor,0,inc
121,5.433722004,cor,0,cor
122,5.583496309,inc,0.045454545,cor
123,5.375278408,inc,0.090909091,inc
124,5.755742214,inc,0.136363636,inc
125,5.598421959,cor,0.181818182,inc
126,5.420534999,inc,0.227272727,cor
127,5.758901774,inc,0.272727273,inc
128,6.50578406,cor,0.318181818,inc
129,6.388561406,cor,0.363636364,cor
130,6.892641641,cor,0.409090909,cor
131,6.552507887,cor,0.454545455,cor
132,6.429719478,cor,0.5,cor
133,6.206575927,cor,0.545454545,cor
134,6.921658184,cor,0.5,cor
135,6.142037406,cor,0.454545455,cor
136,6.206575927,cor,0.409090909,cor
137,6.56948142,cor,0.363636364,cor
138,6.363028104,cor,0.318181818,cor
139,6.150602768,cor,0.272727273,cor
140,6.282266747,cor,0.227272727,cor
141,6.701960366,cor,0.181818182,cor
142,6.867974409,cor,0.136363636,cor
143,5.683579767,cor,0.090909091,cor
144,6.013715156,inc,0.045454545,cor
145,5.411646052,inc,0,inc
146,5.655991811,inc,0,inc
147,5.521460918,inc,0,inc
148,5.686975356,inc,0,inc
149,5.429345629,cor,0.045454545,inc
150,5.602118821,inc,0.090909091,cor
151,5.468060141,inc,0.136363636,inc
152,5.379897354,cor,0.181818182,inc
153,5.733341277,inc,0.227272727,cor
154,6.08221891,cor,0.272727273,inc
155,6.354370041,cor,0.318181818,cor
156,6.12249281,cor,0.363636364,cor
157,6.366470448,cor,0.409090909,cor
158,6.873163834,cor,0.454545455,cor
159,6.342121419,cor,0.5,cor
160,6.133398043,inc,0.454545455,cor
161,6.475432717,cor,0.409090909,inc
162,6.255750042,cor,0.363636364,cor
163,6.938284484,cor,0.318181818,cor
164,6.572282543,cor,0.272727273,cor
165,5.433722004,inc,0.227272727,cor
166,5.598421959,cor,0.181818182,inc
167,5.638354669,inc,0.136363636,cor
168,5.497168225,cor,0.090909091,inc
169,6.621405652,cor,0,inc
170,5.332718793,cor,0,cor
171,5.463831805,inc,0,cor
172,5.361292166,cor,0,inc
173,5.398162702,cor,0,cor
174,5.384495063,cor,0,cor
175,5.953243334,inc,0.045454545,cor
176,5.700443573,inc,0.090909091,inc
177,5.451038454,inc,0.136363636,inc
178,5.416100402,inc,0.181818182,inc
179,5.497168225,inc,0.227272727,inc
180,5.468060141,cor,0.272727273,inc
181,5.648974238,cor,0.318181818,cor
182,5.700443573,cor,0.363636364,cor
183,5.509388337,cor,0.409090909,cor
184,5.407171771,inc,0.454545455,cor
185,6.208590026,cor,0.5,inc
186,6.228511004,cor,0.545454545,cor
187,6.259581464,inc,0.590909091,cor
188,6.285998095,cor,0.636363636,inc
189,6.626717749,cor,0.681818182,cor
190,6.363028104,inc,0.727272727,cor
191,6.282266747,cor,0.772727273,inc
192,6.748759547,cor,0.818181818,cor
193,6.69950034,cor,0.863636364,cor
194,6.933423026,cor,0.909090909,cor
195,6.445719819,cor,0.954545455,cor
196,6.380122537,cor,1,cor
197,6.350885717,cor,0.954545455,cor
198,6.401917197,cor,0.909090909,cor
199,6.311734809,cor,0.863636364,cor
200,6.240275845,cor,0.818181818,cor
201,6.542471961,cor,0.772727273,cor
202,6.240275845,cor,0.727272727,cor
203,6.188264123,cor,0.681818182,cor
204,5.96100534,cor,0.636363636,cor
205,6.161207322,cor,0.590909091,cor
206,6.33150185,cor,0.545454545,cor
207,6.520621128,cor,0.5,cor
208,6.622736324,cor,0.454545455,cor
209,6.089044875,inc,0.409090909,cor
210,6.224558429,cor,0.363636364,inc
211,6.371611847,cor,0.318181818,cor
212,6.381816017,cor,0.272727273,cor
213,5.902633333,cor,0.227272727,cor
214,5.384495063,cor,0.181818182,cor
215,5.713732806,inc,0.136363636,cor
216,5.480638923,inc,0.090909091,inc
217,5.723585102,cor,0.045454545,inc
218,5.517452896,cor,0.090909091,cor
219,5.634789603,cor,0.136363636,cor
220,5.620400866,inc,0.181818182,cor
221,5.332718793,cor,0.227272727,inc
222,5.488937726,cor,0.272727273,cor
223,5.786897381,cor,0.318181818,cor
224,5.379897354,inc,0.363636364,cor
225,6.416732283,inc,0.409090909,inc
226,6.637258031,cor,0.454545455,inc
227,6.263398263,cor,0.5,cor
228,6.408528791,cor,0.545454545,cor
229,6.974478911,cor,0.590909091,cor
230,6.359573869,cor,0.636363636,cor
231,6.276643489,cor,0.681818182,cor
232,6.232448017,cor,0.636363636,cor
233,6.538139824,cor,0.590909091,cor
234,6.131226489,inc,0.545454545,cor
235,6.593044534,cor,0.5,inc
236,6.936342736,cor,0.454545455,cor
237,6.704414355,cor,0.409090909,cor
238,5.655991811,inc,0.363636364,cor
239,5.627621114,inc,0.318181818,inc
240,5.488937726,inc,0.272727273,inc
241,5.493061443,cor,0.227272727,inc
242,5.429345629,inc,0.181818182,cor
243,5.433722004,cor,0.136363636,inc
244,5.459585514,cor,0.181818182,cor
245,5.488937726,inc,0.227272727,cor
246,5.590986981,cor,0.272727273,inc
247,5.484796933,cor,0.318181818,cor
248,5.627621114,inc,0.363636364,cor
249,6.787844982,cor,0.409090909,inc
250,6.118097198,cor,0.454545455,cor
251,6.395261598,cor,0.5,cor
252,6.455198563,cor,0.545454545,cor
253,6.109247583,cor,0.590909091,cor
254,6.278521424,inc,0.636363636,cor
255,6.298949247,cor,0.590909091,inc
256,6.208590026,cor,0.545454545,cor
257,6.251903883,cor,0.5,cor
258,6.188264123,cor,0.454545455,cor
259,6.042632834,cor,0.409090909,cor
260,6.003887067,inc,0.363636364,cor
261,6.595780514,cor,0.318181818,inc
262,6.398594935,cor,0.272727273,cor
263,6.744059186,cor,0.227272727,cor
264,5.398162702,inc,0.181818182,cor
265,5.411646052,cor,0.136363636,inc
266,5.416100402,cor,0.090909091,cor
267,5.713732806,inc,0.045454545,cor
268,5.783825182,cor,0,inc
269,5.648974238,inc,0,cor
270,5.891644212,inc,0.045454545,inc
271,5.429345629,cor,0.090909091,inc
272,5.220355825,cor,0.136363636,cor
273,5.609471795,inc,0.181818182,cor
274,5.560681631,cor,0.227272727,inc
275,5.505331536,inc,0.272727273,cor
276,5.370638028,inc,0.318181818,inc
277,6.674561392,cor,0.363636364,inc
278,6.08221891,cor,0.409090909,cor
279,6.188264123,cor,0.454545455,cor
280,6.759255271,inc,0.5,cor
281,6.317164687,cor,0.545454545,inc
282,6.480044562,cor,0.590909091,cor
283,6.380122537,cor,0.636363636,cor
284,6.947937069,cor,0.681818182,cor
285,6.736966958,cor,0.727272727,cor
286,6.811244379,cor,0.772727273,cor
287,6.363028104,cor,0.727272727,cor
288,6.391917113,cor,0.681818182,cor
289,6.401917197,cor,0.636363636,cor
290,6.284134161,cor,0.590909091,cor
291,6.745236349,cor,0.545454545,cor
292,6.23636959,cor,0.5,cor
293,6.466144724,cor,0.454545455,cor
294,6.234410726,cor,0.409090909,cor
295,6.295266001,cor,0.363636364,cor
296,6.37502482,cor,0.318181818,cor
297,6.610696045,cor,0.272727273,cor
298,6.448889394,cor,0.227272727,cor
299,5.411646052,inc,0.181818182,cor
300,5.476463552,cor,0.136363636,inc
301,5.501258211,cor,0.090909091,cor
302,5.416100402,inc,0.045454545,cor
303,6.34738921,cor,0,inc
304,5.303304908,cor,0,cor
305,5.225746674,inc,0,cor
306,5.493061443,inc,0,inc
307,5.446737372,inc,0,inc
308,6.025865974,cor,0,inc
309,5.872117789,cor,0.045454545,cor
310,5.347107531,inc,0.090909091,cor
311,5.488937726,cor,0.136363636,inc
312,5.488937726,cor,0.181818182,cor
313,5.459585514,inc,0.227272727,cor
314,5.905361848,cor,0.272727273,inc
315,5.484796933,cor,0.318181818,cor
316,5.476463552,inc,0.363636364,cor
317,5.446737372,inc,0.409090909,inc
318,5.313205979,inc,0.454545455,inc
319,6.253828812,inc,0.5,inc
320,6.270988432,cor,0.545454545,inc
321,6.342121419,cor,0.590909091,cor
322,6.431331082,cor,0.636363636,cor
323,6.280395839,cor,0.681818182,cor
324,6.315358002,cor,0.727272727,cor
325,6.368187186,cor,0.772727273,cor
326,6.063785209,cor,0.727272727,cor
327,6.621405652,cor,0.681818182,cor
328,6.28785856,cor,0.636363636,cor
329,6.265301213,cor,0.590909091,cor
330,6.11146734,cor,0.545454545,cor
331,6.204557763,cor,0.5,cor
332,6.251903883,inc,0.454545455,cor
333,5.575949103,inc,0.409090909,inc
334,5.283203729,inc,0.363636364,inc
335,5.493061443,inc,0.318181818,inc
336,5.438079309,inc,0.272727273,inc
337,5.231108617,inc,0.318181818,inc
338,5.342334252,cor,0.363636364,inc
339,5.433722004,inc,0.409090909,cor
340,5.272999559,cor,0.454545455,inc
341,5.659482216,cor,0.5,cor
342,5.393627546,inc,0.545454545,cor
343,6.289715571,cor,0.590909091,inc
344,6.025865974,cor,0.636363636,cor
345,6.182084907,cor,0.681818182,cor
346,6.200509174,cor,0.727272727,cor
347,6.452048954,cor,0.772727273,cor
348,6.246106765,cor,0.818181818,cor
349,6.278521424,cor,0.772727273,cor
350,6.249975242,cor,0.727272727,cor
351,6.464588304,cor,0.681818182,cor
352,6.349138991,cor,0.636363636,cor
353,6.285998095,cor,0.590909091,cor
354,6.338594078,inc,0.545454545,cor
355,6.429719478,cor,0.5,inc
356,6.421622268,cor,0.454545455,cor
357,6.240275845,cor,0.409090909,cor
358,6.21860012,cor,0.363636364,cor
359,6.267200549,cor,0.318181818,cor
360,6.746412129,cor,0.272727273,cor
361,5.379897354,cor,0.227272727,cor
362,5.442417711,inc,0.181818182,cor
363,5.65248918,inc,0.136363636,inc
364,5.433722004,cor,0.090909091,inc
365,5.411646052,inc,0.045454545,cor
366,5.438079309,cor,0,inc
367,5.379897354,inc,0.045454545,cor
368,5.267858159,inc,0.090909091,inc
369,5.442417711,inc,0.136363636,inc
370,5.379897354,inc,0.181818182,inc
371,4.663439094,cor,0.227272727,inc
372,5.384495063,cor,0.272727273,cor
373,5.402677382,inc,0.318181818,cor
374,5.347107531,inc,0.363636364,inc
375,5.605802066,inc,0.409090909,inc
376,6.777646594,cor,0.454545455,inc
377,6.244166901,cor,0.5,cor
378,6.194405391,cor,0.545454545,cor
379,6.255750042,inc,0.590909091,cor
380,6.498282149,cor,0.636363636,inc
381,6.383506635,cor,0.681818182,cor
382,6.507277712,cor,0.727272727,cor
383,6.624065228,cor,0.772727273,cor
384,6.33150185,cor,0.818181818,cor
385,6.249975242,cor,0.863636364,cor
386,6.837332815,cor,0.818181818,cor
387,6.284134161,cor,0.772727273,cor
388,6.532334292,cor,0.727272727,cor
389,6.276643489,cor,0.681818182,cor
390,6.687108608,cor,0.636363636,cor
391,6.519147288,inc,0.590909091,cor
392,6.469250317,inc,0.545454545,inc
393,6.859614904,cor,0.5,inc
394,6.180016654,cor,0.454545455,cor
395,6.442540166,cor,0.409090909,cor
396,6.584791392,cor,0.363636364,cor
397,6.342121419,cor,0.318181818,cor
398,6.599870499,cor,0.272727273,cor
399,6.182084907,cor,0.227272727,cor
400,6.363028104,cor,0.181818182,cor
401,6.311734809,inc,0.136363636,cor
402,6.621405652,cor,0.090909091,inc
403,5.347107531,cor,0.045454545,cor
404,5.347107531,cor,0,cor
405,5.356586275,cor,0,cor
406,5.332718793,cor,0,cor
407,5.308267697,cor,0,cor
408,5.666426688,cor,0.045454545,cor
409,5.420534999,inc,0.090909091,cor
410,5.424950017,cor,0.136363636,inc
411,5.497168225,inc,0.181818182,cor
412,6.02827852,cor,0.227272727,inc
413,6.428105273,cor,0.272727273,cor
414,5.384495063,cor,0.318181818,cor
415,5.583496309,inc,0.363636364,cor
416,6.214608098,cor,0.409090909,inc
417,6.17586727,cor,0.454545455,cor
418,5.863631176,inc,0.5,cor
419,6.135564891,cor,0.545454545,inc
420,6.680854679,cor,0.590909091,cor
421,6.282266747,cor,0.636363636,cor
422,6.37502482,cor,0.681818182,cor
423,6.324358962,cor,0.727272727,cor
424,6.345636361,cor,0.772727273,cor
425,6.089044875,cor,0.727272727,cor
426,6.240275845,cor,0.681818182,cor
427,6.186208624,inc,0.636363636,cor
428,6.562444094,cor,0.590909091,inc
429,7.049254841,cor,0.545454545,cor
430,6.390240667,cor,0.5,cor
431,6.579251212,cor,0.454545455,cor
432,6.285998095,cor,0.409090909,cor
433,6.771935556,cor,0.363636364,cor
434,6.489204931,cor,0.318181818,cor
435,5.438079309,cor,0.272727273,cor
436,6.03068526,cor,0.227272727,cor
437,5.420534999,cor,0.181818182,cor
438,5.564520407,inc,0.136363636,cor
439,5.407171771,cor,0.090909091,inc